Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-33.80402	-50.50631	16.70229	0.0484563	0.0517605	0.110754	0.0651719	0.0124495	0.00652209	0.13524	0.0898963	0.0209842	0.122946	0.120219	0.186471	0.0115714	0.0118901	0.00615959	0.063954	0.0141437	0.014654	0.0587984	0.133638	0.00245877	0.0599139	1.31336	0.1798016	1.820198	0.775698	0.883492	0.962091	1.0394	1.13187	1.28916	0.183654	10.12337	0.01520624	0.0376173	0.0401824	0.0859797	0.0505939	0.00966473	0.00506319	0.104989	0.0697878	0.0162903	0.0954447	0.093328	0.14476	0.00898302	0.00923041	0.00478178	0.0496484	0.0109799	0.0113761	0.045646	0.103745	0.00190878	0.400588	0.599412	0.4005881	1.288138
396	-24.79039	-44.34082	19.55043	0.0139406	0.195224	0.0581094	0.0146989	0.0986757	0.00437475	0.012629	0.027308	0.00546414	0.0243	0.0447902	0.00260596	0.0803185	0.0331637	0.0261114	0.0578487	0.00875748	0.206666	0.00236684	0.201209	0.000489867	0.865143	1.04495	1.730096	0.2699036	0.241092	0.499677	0.805372	1.24166	2.00129	4.1478	1.028621	0.156005	0.2759754	0.0124575	0.174455	0.0519273	0.0131351	0.0881779	0.00390933	0.0112854	0.0244028	0.00488282	0.0217148	0.0400251	0.00232872	0.0717736	0.0296355	0.0233334	0.0516943	0.00782579	0.184679	0.00211504	0.179803	0.000437751	0.81285	0.18715	0.8128497	1.119053
432	-32.6807	-50.04372	17.36302	0.0855203	0.0469256	0.035911	0.120897	0.038598	0.0128454	0.0147557	0.19061	0.0172082	0.0514351	0.0506106	0.0814336	0.110593	0.224603	0.0884771	0.067649	0.0361631	0.232001	0.0234663	0.263362	0.000789565	0.457932	1.18069	0.6032658	1.396734	0.554318	0.749947	0.914138	1.09393	1.33343	1.80402	0.4266223	2.315288	0.1292837	0.047674	0.0261591	0.0200189	0.0673949	0.0215168	0.0071608	0.00822571	0.106257	0.00959288	0.028673	0.0282133	0.0453959	0.0616508	0.125207	0.0493223	0.0377115	0.0201594	0.129331	0.0130815	0.146813	0.00044015	0.92442	0.0755805	0.9244195	1.793855
468	-33.38772	-52.343	18.95528	0.0447858	0.217331	0.0202622	0.0360472	0.120668	0.0318045	0.0662363	0.0663491	0.00891439	0.0283024	0.102894	0.154965	0.216173	0.0856256	0.202641	0.101906	0.0207096	0.0310662	0.0764396	0.154227	0.10239	1.61081	0.796396	1.849071	0.1509291	0.763264	0.876557	0.959729	1.04196	1.14083	1.31016	0.1953379	0.08162429	0.6742083	0.0236995	0.115006	0.0107222	0.0190753	0.0638544	0.0168301	0.0350505	0.0351102	0.00471726	0.0149769	0.0544488	0.0820032	0.114393	0.0453108	0.107232	0.0539261	0.010959	0.0164394	0.0404498	0.0816128	0.0541823	0.601518	0.398482	0.6015181	1.889738
504	-26.27534	-43.50971	17.23437	0.0311027	0.0218305	0.0200724	0.00905912	0.0755673	0.0119377	0.0170877	0.00629033	0.0343035	0.0099194	0.01736	0.0474555	0.0601928	0.00610022	0.0543944	0.0217272	0.0116454	0.00102765	0.0179805	0.0625408	0.0115468	0.173199	1.2756	0.3323277	1.667672	0.183664	0.437585	0.772713	1.29414	2.28527	5.44474	1.225348	5.018157	0.04525951	0.0566388	0.0397538	0.0365523	0.0164969	0.13761	0.0217388	0.031117	0.0114548	0.0624675	0.0180635	0.031613	0.0864176	0.109613	0.0111086	0.0990534	0.0395657	0.0212066	0.00187138	0.0327429	0.113888	0.0210271	0.641605	0.358395	0.6416055	0.5491419
540	-27.78197	-46.47478	18.69281	0.0191324	0.0669115	0.0603359	0.0384949	0.0903986	0.0257519	0.00990841	0.121829	0.0122395	0.0121989	0.00168785	0.0358207	0.029427	0.0108121	0.227604	0.00466994	0.0254987	0.00282119	0.105194	0.149827	0.0302257	2.08654	0.637819	1.682303	0.3176973	0.405139	0.643617	0.871556	1.14737	1.55372	2.46829	0.6533104	0.1888467	1.090457	0.0177023	0.0619097	0.0558257	0.0356174	0.0836412	0.0238269	0.00916774	0.112723	0.0113246	0.011287	0.00156168	0.0331431	0.0272273	0.0100039	0.210591	0.00432086	0.0235926	0.0026103	0.0973308	0.138628	0.0279663	0.541057	0.458943	0.541057	1.080791
576	-31.06236	-49.07617	18.0138	0.00871824	0.246161	0.0447514	0.0528468	0.00219392	0.028834	0.0420421	0.0252434	0.00570783	0.11378	0.0280908	0.0423291	0.0804047	0.0512637	0.0703167	0.00308949	0.0414954	0.00389977	0.275328	0.0534605	0.0415044	0.227936	1.25735	0.4409116	1.559088	0.704733	0.843104	0.948148	1.05469	1.18609	1.41898	0.2530278	3.536057	0.06042734	0.00691122	0.195139	0.0354758	0.0418933	0.00173919	0.0228576	0.033328	0.0200113	0.00452477	0.090197	0.0222685	0.0335556	0.0637393	0.0406383	0.0557422	0.00244914	0.0328947	0.00309147	0.218261	0.0423798	0.0329018	0.490848	0.509152	0.490848	1.261462
612	-32.21767	-49.36858	17.15091	0.0896648	0.0914083	0.0069417	0.0368728	0.0467592	0.00521533	0.0324817	0.0677815	0.0163695	0.00139141	0.00724205	0.0242549	0.0910655	0.00883306	0.000738536	0.00557567	0.0203356	0.00225127	0.0866454	0.00276414	0.0305036	0.736928	1.08769	0.4121648	1.587835	0.272862	0.530772	0.820685	1.21849	1.88405	3.66485	0.9391132	3.852428	0.2258388	0.132818	0.135401	0.0102825	0.0546186	0.0692631	0.00772532	0.0481142	0.100403	0.0242476	0.00206106	0.0107274	0.035928	0.134893	0.0130842	0.00109397	0.00825907	0.0301225	0.00333473	0.128345	0.00409444	0.045184	0.0463024	0.953698	0.04630245	0.6750959
648	-32.07998	-49.93802	17.85803	0.33538	0.0665894	0.0638658	0.0330621	0.0133375	0.0566614	0.0638176	0.177795	0.0462776	0.0162882	0.233577	0.0522968	0.187162	0.0195456	0.00852447	0.0882615	0.111701	0.106996	0.0427514	0.00914265	0.0431657	0.28876	1.23708	0.8327917	1.167208	0.355076	0.603519	0.854239	1.17063	1.65695	2.8163	0.7486822	1.401561	0.07780693	0.188819	0.0374898	0.0359565	0.018614	0.00750899	0.0319003	0.0359293	0.100099	0.0260543	0.00917027	0.131504	0.0294431	0.105372	0.0110042	0.00479928	0.0496912	0.0628878	0.0602389	0.024069	0.00514731	0.0243023	0.0841057	0.915894	0.08410566	1.776199
684	-30.13626	-47.46234	17.32609	0.114142	0.0507523	0.0180941	0.0144442	0.0165066	0.0211815	0.00858792	0.0398296	0.0364853	0.0101026	0.0506829	0.230961	0.0271578	0.335826	0.0260098	0.0554728	0.127855	0.0623402	0.315522	0.0181462	0.116612	0.536913	1.15436	0.6504247	1.349575	0.412438	0.649246	0.873927	1.14426	1.54025	2.42461	0.6403994	2.074914	0.1550389	0.0672727	0.0299122	0.0106642	0.00851307	0.00972858	0.0124838	0.0050615	0.0234746	0.0215035	0.00595422	0.0298712	0.136123	0.0160061	0.197927	0.0153295	0.0326943	0.0753545	0.0367417	0.185961	0.0106949	0.0687285	0.240356	0.759644	0.2403557	1.696712
720	-26.81351	-46.97191	20.15841	0.0437969	0.0201893	0.00893372	0.0165401	0.0488837	0.00158856	0.0547471	0.200634	0.0237678	0.0399122	0.0448282	0.0106963	0.00560477	0.0312319	0.00116566	0.0468128	0.00202147	0.0523669	0.0679177	0.207844	0.00422984	0.212889	1.26237	1.792253	0.207747	0.122051	0.358511	0.726128	1.37717	2.78931	8.19333	1.520845	0.1159139	0.05621416	0.0469061	0.0216226	0.00956796	0.0177143	0.0523542	0.00170134	0.0586338	0.214878	0.0254551	0.0427456	0.0480107	0.0114556	0.00600266	0.0334492	0.00124841	0.0501362	0.00216498	0.0560846	0.0727394	0.222599	0.00453013	0.328125	0.671875	0.328125	0.9337128
756	-30.67896	-50.98683	20.30787	0.00719983	0.0319627	0.00199081	0.047214	0.0243788	0.0118617	0.00155317	0.104359	0.00374465	0.0162534	0.0343056	0.00642928	0.0488387	0.0902911	0.0241552	0.0708893	0.0010223	0.0199764	0.0445325	0.0841511	7.05403e-05	0.239193	1.2536	1.761471	0.2385295	0.134058	0.3753	0.73657	1.35764	2.66453	7.45944	1.452993	0.135415	0.06360151	0.0106636	0.0473395	0.00294857	0.069928	0.0361072	0.0175682	0.00230037	0.154564	0.00554615	0.0240727	0.0508096	0.00952232	0.0723343	0.133729	0.035776	0.104993	0.00151411	0.0295867	0.0659565	0.124635	0.000104476	0.947613	0.052387	0.947613	0.6751801
792	-23.76285	-43.58518	19.82233	0.0379577	0.230078	0.0313784	0.1549	0.0843666	0.0609827	0.0207751	0.116293	0.0300141	0.0627415	0.0242912	0.0766907	0.0463713	0.182324	0.130726	0.0233258	0.00961379	0.0521148	0.0432566	0.111906	0.00686279	0.608325	1.13056	1.554722	0.4452778	0.82883	0.912505	0.971839	1.02898	1.09588	1.20652	0.1357492	0.2864034	0.1793583	0.0246965	0.149696	0.0204157	0.100782	0.0548915	0.0396772	0.013517	0.0756636	0.0195281	0.0408216	0.0158046	0.0498973	0.0301706	0.118625	0.0850543	0.0151765	0.00625503	0.0339075	0.0281441	0.0728098	0.00446515	0.053792	0.946208	0.053792	1.536969
828	-27.07139	-45.37281	18.30142	0.111845	0.167893	0.0696635	0.0201311	0.0607935	0.0261612	0.0230389	0.178855	0.0593092	0.000561127	0.197635	0.146486	0.256084	0.0237361	0.125842	0.0604303	0.00156319	0.00929021	0.0542493	0.278954	0.00496665	1.31742	0.894192	1.58031	0.41969	0.483432	0.701535	0.895304	1.11694	1.42544	2.06854	0.5255585	0.2655745	0.491104	0.0595718	0.0894241	0.0371047	0.0107224	0.0323803	0.0139341	0.0122711	0.0952628	0.0315897	0.000298871	0.105266	0.0780221	0.136397	0.0126425	0.0670267	0.0321868	0.000832598	0.00494822	0.0288946	0.148578	0.00264537	0.193091	0.806909	0.1930905	1.877487
864	-32.93142	-48.79597	15.86455	0.14547	0.0249643	0.0378107	0.115275	0.197212	0.0565449	0.160025	0.0115022	0.086429	0.0073998	0.178737	0.103803	1.01641	0.193301	0.00676712	0.0549421	0.0584687	0.0278879	0.0294278	0.0320613	0.140842	1.77391	0.74203	1.256753	0.7432472	0.400265	0.639829	0.869952	1.14949	1.56292	2.49834	0.6620621	0.5914029	0.7968734	0.054173	0.00929672	0.0140807	0.0429285	0.0734417	0.0210574	0.0595933	0.00428343	0.0321862	0.00275569	0.0665616	0.0386563	0.378512	0.0719855	0.00252008	0.0204605	0.0217738	0.0103855	0.0109589	0.0119397	0.0524498	0.0479357	0.952064	0.04793574	2.685282
900	-34.26303	-50.55153	16.2885	0.000183101	0.0253355	2.07972e-05	0.0218626	0.0177909	0.00569971	0.0251184	0.00133278	0.0136075	0.0124808	0.0137342	0.00679614	0.0239272	0.00764639	0.034568	0.0032209	0.0237391	0.00083158	0.00297299	0.00267268	0.0188311	0.431776	1.18941	0.4389784	1.561022	0.0524643	0.237506	0.63859	1.56595	4.21042	19.0606	2.131334	3.556033	0.1210058	0.000697866	0.096563	7.9266e-05	0.0833267	0.067808	0.0217238	0.0957356	0.00507975	0.0518634	0.0475691	0.0523461	0.0259027	0.0911954	0.0291433	0.131752	0.0122761	0.0904788	0.00316947	0.0113312	0.0101866	0.0717724	0.568011	0.431989	0.5680105	0.2623723
936	-29.67285	-48.73338	19.06053	0.168699	0.0770268	0.00235508	0.0972218	0.18122	0.0265248	0.0170238	0.0915095	0.0126779	0.0207327	0.0775191	0.0623681	0.112091	0.18042	0.0345356	0.0520228	0.00809278	0.00102279	0.0266613	0.0347966	0.149445	1.00776	0.997413	1.786107	0.2138929	0.209692	0.466803	0.788453	1.26831	2.14223	4.76891	1.129519	0.1197537	0.3367916	0.117645	0.0537158	0.00164236	0.0677992	0.126377	0.0184975	0.0118718	0.0638156	0.00884115	0.0144583	0.0540592	0.0434934	0.0781687	0.125819	0.024084	0.0362789	0.00564363	0.000713258	0.0185927	0.0242659	0.104218	0.596598	0.403402	0.5965984	1.433967
972	-30.08934	-47.3977	17.30837	0.0752385	0.505389	0.00828145	0.0227193	0.0382556	0.00747041	0.0270368	0.0365226	0.0129509	0.0189668	0.0934121	0.0316996	0.0898644	0.146458	0.31217	0.0665546	0.0229695	0.0620097	0.193726	0.0928301	0.000748431	2.36679	0.544404	1.71312	0.2868802	0.339018	0.59005	0.848245	1.1789	1.69477	2.94969	0.7821441	0.1674607	1.449163	0.0403364	0.270946	0.0044398	0.0121802	0.0205094	0.00400499	0.0144948	0.0195803	0.00694318	0.0101684	0.0500796	0.0169946	0.0481776	0.0785181	0.167359	0.0356809	0.0123143	0.0332443	0.103859	0.0497676	0.000401244	0.0612435	0.938756	0.06124353	1.865274
1008	-34.00998	-53.28948	19.2795	0.0214874	0.0896122	0.0198498	0.00975443	0.0117874	0.0215289	0.0110745	0.0034971	0.0129205	0.00266104	0.0358836	0.0298511	0.0977818	0.0372871	0.0109661	0.0752259	0.0258049	0.0108292	0.02826	0.0187438	0.0175588	0.391244	1.20292	1.086547	0.9134534	0.256206	0.514715	0.812857	1.23023	1.94282	3.90311	0.9846569	0.8406942	0.1084151	0.036274	0.151279	0.0335094	0.0164669	0.0198989	0.036344	0.0186954	0.00590361	0.0218118	0.00449223	0.0605768	0.050393	0.16507	0.0629461	0.0185124	0.126992	0.0435625	0.0182813	0.047707	0.0316422	0.0296418	0.375214	0.624786	0.3752136	0.5923658
1044	-31.6979	-49.15287	17.45498	0.235558	0.163436	0.035676	0.0784136	0.0629787	0.0401835	0.316594	0.00346497	0.0160996	0.019332	0.127317	0.0887714	0.260192	0.0341872	0.0588769	0.0168029	0.146262	0.242933	0.196234	0.372458	0.374366	1.39117	0.869608	1.832865	0.1671347	0.677683	0.827163	0.942519	1.06099	1.20895	1.47562	0.281329	0.09118767	0.5332571	0.081504	0.0565495	0.0123441	0.0271315	0.0217909	0.0139037	0.109543	0.00119889	0.00557055	0.00668898	0.0440521	0.0307153	0.0900276	0.0118289	0.0203717	0.0058139	0.0506074	0.084056	0.0678979	0.128872	0.129532	0.23304	0.76696	0.2330402	2.890135
1080	-34.22199	-53.25559	19.0336	0.0207385	0.00602766	0.062437	0.0229332	0.00842506	0.217718	0.105642	0.00066329	0.0233951	0.00474824	0.0135299	0.0209583	0.0407797	0.180193	0.0669971	0.0472538	0.0112549	0.0469172	0.068793	0.111498	0.0716481	0.81853	1.06049	1.973242	0.02675816	0.0535001	0.239781	0.640492	1.5613	4.17047	18.6915	2.117197	0.01356051	0.2572806	0.0179936	0.00522984	0.0541729	0.0198978	0.00730993	0.188901	0.0916591	0.000575498	0.0202985	0.00411977	0.0117391	0.0181842	0.0353821	0.156343	0.0581295	0.0409993	0.00976519	0.0407073	0.0596876	0.0967402	0.0621648	0.504012	0.495988	0.5040121	1.15255
1116	-32.12417	-46.89975	14.77558	0.1119	0.00903442	0.161592	0.00176258	0.0692479	0.0417331	0.017335	0.0279034	0.0477331	0.0127045	0.0136709	0.113271	0.0626056	0.274757	0.115348	0.119387	0.00493757	0.0223639	0.165378	0.703307	0.0914754	3.15322	0.28226	1.555598	0.4444018	0.153275	0.400638	0.751737	1.33025	2.49602	6.52423	1.356132	0.2856791	3.723777	0.0511554	0.00413012	0.0738725	0.000805769	0.031657	0.0190784	0.00792478	0.0127561	0.0218214	0.00580789	0.00624972	0.0517824	0.0286204	0.125606	0.0527317	0.0545783	0.00225723	0.0102237	0.0756033	0.321519	0.0418183	0.102664	0.897336	0.1026643	2.187447
1152	-32.01148	-48.0229	16.01142	0.161922	0.0385147	0.189514	0.0016592	0.0591826	0.0630598	0.00913612	0.040762	0.000532584	0.0544679	0.251934	0.0887703	0.0826682	0.00138914	0.0970222	0.131393	0.0173441	0.209668	0.123714	0.182038	0.0384201	0.99224	1.00259	0.3735969	1.626403	0.637379	0.802794	0.933766	1.07093	1.24565	1.56893	0.3256637	4.353364	0.3298935	0.0878525	0.0208966	0.102823	0.000900219	0.0321102	0.0342138	0.0049569	0.0221158	0.000288959	0.0295521	0.13669	0.0481633	0.0448525	0.000753693	0.0526405	0.0712884	0.00941023	0.113758	0.0671225	0.0987665	0.0208452	0.286957	0.713043	0.2869571	1.843112
1188	-33.51432	-50.49666	16.98234	0.137267	0.0091506	0.0141063	0.00688122	0.0520386	0.176639	0.0251094	0.0551178	0.00316872	0.099867	0.175723	0.0255159	0.0279014	0.00118861	0.0395907	0.0786887	0.0084838	0.068126	0.0655196	0.303129	0.0265189	0.755779	1.08141	0.3774734	1.622527	0.737666	0.862095	0.95476	1.04738	1.15997	1.35563	0.2200035	4.298387	0.2329618	0.0980667	0.0065374	0.0100778	0.0049161	0.0371776	0.126195	0.0179387	0.0393774	0.00226381	0.0713473	0.12554	0.0182292	0.0199334	0.000849173	0.0282845	0.056217	0.00606102	0.0486708	0.0468087	0.216563	0.0189457	0.194225	0.805775	0.1942245	1.399731
1224	-33.57474	-50.9519	17.37716	0.220198	0.0909011	0.0709194	0.0035041	0.0279162	0.0152825	0.020117	0.0877667	0.0111899	0.00717487	0.44029	0.0529788	0.0931252	0.00800375	0.0181819	0.270075	0.0197589	0.0301965	0.0871526	0.0527462	0.2316	1.56796	0.810681	1.745705	0.2542947	0.109368	0.339831	0.714106	1.40035	2.94264	9.14348	1.600181	0.1456688	0.6447072	0.118445	0.0488957	0.0381476	0.00188486	0.0150161	0.00822048	0.010821	0.0472098	0.00601905	0.00385937	0.236832	0.0284973	0.0500921	0.00430522	0.00978005	0.145273	0.0106283	0.0162427	0.0468795	0.0283722	0.124578	0.169403	0.830597	0.169403	1.859079
1260	-36.12068	-53.10232	16.98164	0.00891847	0.144149	0.369748	0.0129947	0.0190452	0.0901603	0.0102551	0.0507022	0.0773824	0.119281	0.156534	0.0503376	0.111089	0.00788187	0.226153	0.138651	0.128333	0.0938413	0.133924	0.0313307	0.253965	1.73822	0.753927	1.856062	0.1439382	0.117977	0.352625	0.722387	1.3843	2.83588	8.47625	1.545392	0.07755032	0.7685173	0.00399095	0.0645055	0.165459	0.00581503	0.0085226	0.040346	0.00458906	0.0226888	0.034628	0.0533774	0.0700479	0.0225257	0.0497113	0.00352707	0.101202	0.0620453	0.057428	0.0419933	0.0599299	0.0140202	0.113647	0.960543	0.0394575	0.9605425	2.234676
