Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-32.97402	-49.26135	16.28733	0.0435441	0.00549111	0.0171594	0.0110976	0.00536213	0.00705556	0.00404858	0.00641037	0.0116566	0.00104024	0.0156595	0.00919796	0.0089182	0.0252223	0.0106353	0.005137	0.00831591	0.002301	0.014984	0.0346275	0.00708204	0.775607	1.0748	0.3972514	1.602749	0.114498	0.347515	0.719105	1.39062	2.87757	8.73375	1.567031	4.034595	0.2405434	0.170797	0.0215383	0.0673058	0.0435294	0.0210324	0.0276747	0.0158801	0.025144	0.0457217	0.00408022	0.0614227	0.036078	0.0349807	0.0989318	0.0417159	0.0201493	0.0326183	0.00902541	0.0587731	0.135823	0.0277785	0.0905752	0.909425	0.09057524	0.2549463
36	-32.40324	-50.82781	18.42457	0.12203	0.170989	0.0972799	0.0227336	0.0365173	0.0688987	0.06032	0.013311	0.00711432	0.00414558	0.0077152	0.0880571	0.0209449	0.0252754	0.0302377	0.0133213	0.00642942	0.037325	0.0308326	0.0979316	0.232434	0.28701	1.23766	1.138206	0.8617941	0.113671	0.346289	0.718312	1.39215	2.88776	8.79729	1.572272	0.7571513	0.07729892	0.102216	0.143226	0.0814846	0.0190423	0.030588	0.0577116	0.0505258	0.0111497	0.00595917	0.00347246	0.00646248	0.0737593	0.0175441	0.0211715	0.025328	0.0111583	0.00538547	0.0312645	0.0258263	0.0820305	0.194694	0.0652998	0.9347	0.06529977	1.193845
72	-36.36952	-52.64189	16.27236	0.186438	0.128185	0.123413	0.00765626	0.0376481	0.0139254	0.0526313	0.0232807	0.00641289	0.0277922	0.0584602	0.00929102	0.0300126	0.101863	0.0312274	0.0555132	0.0464357	0.149459	0.0184801	0.0654149	0.18093	2.41397	0.528678	0.8124989	1.187501	0.390171	0.631908	0.866578	1.15396	1.58251	2.56298	0.6805303	1.461542	1.522016	0.137646	0.0946382	0.0911154	0.00565259	0.0277954	0.0102811	0.0388575	0.0171881	0.00473461	0.0205189	0.043161	0.00685952	0.0221582	0.0752052	0.0230551	0.0409852	0.0342833	0.110345	0.0136438	0.0482956	0.13358	0.213049	0.786951	0.2130485	1.35447
108	-33.21119	-52.36757	19.15638	0.0546635	0.120324	0.0370406	0.0696784	0.0755934	0.00834107	0.0638851	0.0572603	0.0718225	0.128545	0.0370717	0.0273686	0.117621	0.123355	0.0475777	0.0269893	0.00457159	0.325812	0.0967895	0.0334124	0.0879547	0.287375	1.23754	1.241362	0.7586379	0.506053	0.717358	0.901555	1.10919	1.394	1.97608	0.4924917	0.6111334	0.07740486	0.0338332	0.0744727	0.0229257	0.0431264	0.0467875	0.00516259	0.0395408	0.0354405	0.0444535	0.0795614	0.022945	0.0169394	0.0727996	0.0763486	0.0294475	0.0167046	0.00282952	0.201656	0.0599065	0.0206801	0.0544383	0.195917	0.804083	0.1959167	1.615677
144	-36.82339	-55.87427	19.05088	0.0472816	0.108673	0.0220927	0.199104	0.0316043	6.93681e-05	0.0299442	0.0471108	0.187553	0.0310323	0.0765023	0.106287	0.0406963	0.0845471	0.0395752	0.0123883	0.0544205	0.065271	0.00660558	0.0332911	0.0651942	0.641429	1.11952	1.498358	0.5016424	0.224486	0.482585	0.796674	1.25522	2.07217	4.45461	1.080221	0.3347948	0.1909828	0.0366739	0.0842919	0.0171362	0.154435	0.0245138	5.38052e-05	0.0232262	0.0365414	0.145475	0.0240702	0.0593389	0.0824412	0.031566	0.0655788	0.0306965	0.00960897	0.0422112	0.0506273	0.00512361	0.0258222	0.0505678	0.138569	0.861431	0.1385686	1.289244
180	-34.41708	-51.14773	16.73065	0.015863	0.152118	0.0973658	0.148455	0.0541402	5.23693e-05	0.2551	0.0604259	0.190937	0.0997812	0.12717	0.0773145	0.0131467	0.102611	0.340547	0.0768549	0.0955117	0.088853	0.0269664	0.156848	0.170776	0.198097	1.2673	0.8691718	1.130828	0.187085	0.441542	0.774886	1.29051	2.26479	5.34516	1.212002	1.301041	0.05210465	0.00674782	0.0647078	0.0414175	0.0631496	0.0230302	2.22769e-05	0.108515	0.025704	0.0812208	0.042445	0.0540954	0.0328881	0.00559237	0.0436486	0.144862	0.0326926	0.0406288	0.0377963	0.011471	0.0667202	0.0726449	0.138313	0.861687	0.1383135	2.350838
216	-30.20716	-46.67424	16.46708	0.0564718	0.235713	0.0191461	0.0196481	0.0544961	0.00277614	0.0214532	0.0468383	0.0596638	0.00229579	0.0106262	0.0301147	0.0347331	0.00325998	0.0456639	0.0273604	0.093177	0.0722951	0.0322791	0.0234029	0.179304	2.71467	0.428445	1.406704	0.5932958	0.107826	0.337487	0.712565	1.40338	2.96308	9.2742	1.610446	0.4217631	2.11203	0.0527419	0.220145	0.0178816	0.0183504	0.0508968	0.00259279	0.0200363	0.0437447	0.0557231	0.00214415	0.00992436	0.0281257	0.0324391	0.00304467	0.0426478	0.0255533	0.0870228	0.0675201	0.0301471	0.0218572	0.167462	0.220475	0.779525	0.220475	1.070719
252	-30.09574	-48.12671	18.03097	0.0214777	0.0465481	0.00980756	0.0119547	0.0088609	0.01071	0.034064	0.0152717	0.0325346	0.0228298	0.0650391	0.0162931	0.00372289	0.0490578	0.0493484	0.0523695	0.00487101	0.0402485	0.0013815	0.0662673	0.0334722	1.78601	0.737996	1.498864	0.501136	0.107584	0.337117	0.712322	1.40386	2.96633	9.29506	1.61207	0.3343439	0.8066953	0.0360285	0.0780837	0.016452	0.0200539	0.014864	0.0179658	0.0571418	0.0256181	0.0545763	0.0382967	0.109102	0.0273314	0.00624509	0.0822937	0.0827812	0.0878491	0.00817105	0.0675163	0.00231744	0.111162	0.0561491	0.11603	0.88397	0.1160297	0.5961305
288	-27.94635	-45.36341	17.41706	0.0429718	0.174981	0.0459609	0.0324238	0.0333063	0.00218613	0.0144174	0.0175151	0.00571327	0.0195153	0.0235747	0.0115415	0.0424236	0.035897	0.00601212	0.11323	0.00374016	0.0582025	0.00460575	0.0885793	0.0338876	0.800559	1.06648	0.307015	1.692985	0.968071	0.984299	0.995075	1.00495	1.01595	1.03298	0.02346325	5.514339	0.2502185	0.0530068	0.215844	0.0566939	0.0399956	0.0410841	0.00269665	0.0177842	0.0216053	0.00704745	0.0240726	0.0290799	0.0142368	0.0523306	0.0442798	0.0074161	0.139672	0.00461358	0.0717942	0.00568131	0.109265	0.0418012	0.623142	0.376858	0.6231416	0.810685
324	-48.68083	-53.59067	4.909834	0.0145939	0.00674265	0.0392645	0.00562932	0.0728764	0.00431127	0.0407099	0.0100614	0.0267353	0.00068289	0.110178	0.148325	0.0115222	0.0646783	0.0523991	0.000898551	0.0274908	0.0499362	0.0703701	0.0859925	0.016994	3.60743	0.130858	0.01951743	1.980483	0.0104728	0.108238	0.49974	2.00104	9.2389	95.4853	3.296451	101.4725	9.189145	0.0169619	0.00783671	0.0456355	0.00654273	0.0847013	0.00501081	0.0473155	0.011694	0.0310734	0.000793695	0.128056	0.172392	0.0133918	0.075173	0.0609013	0.00104435	0.0319514	0.0580388	0.0817883	0.0999456	0.0197514	0.125256	0.874744	0.1252562	0.8603931
